Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty
ghana,Busua Beach,4.80294370651245,-1.92466735839844,Beach break,Right & left,Sand,Beginners
ghana,The Point,5.49376869201660,-0.36616912484169,Point break,Right & left,Sand & Rock,Intermediate surfer
ghana,Till's,5.41222715377808,-0.46760559082031,Beach break,Right & left,Sand,Intermediate surfer
ghana,White Sands Point,5.41842174530029,-0.46181201934814,Point break,Right,Sand & Rock,Advanced surfer
madagascar,Flameballs,-23.64441871643066,43.57177734375000,Reef break,Left,Boulders,Advanced surfer
madagascar,Lavanono,-25.43071174621582,44.93373870849609,Reef break,Left,Rocky reef,Intermediate surfer
madagascar,Libanono,-25.09114456176758,46.88964843750000,Beach break,Right & left,Sand,Intermediate surfer
madagascar,Monseigneur,-25.02883338928223,47.00835418701172,Point break,Right,Rocky reef,Intermediate surfer
mauritius,Tamarin Bay,-20.32659339904785,57.37077713012695,Reef break,Left,Coral reef,Advanced surfer
morocco,Anchor Point,30.54513168334961,-9.72661209106445,Point break,Right,Sand & Rock,Advanced surfer
morocco,Banana point,30.49956703186035,-9.68573570251465,Point break,Right,Sand & Rock,Beginners
morocco,Boilers,30.62343597412109,-9.88185882568359,Reef break,Right,Rocky reef,Advanced surfer
morocco,Cherry,30.35223770141602,-9.61715698242188,Reef break,Right,Boulders,Beginners
morocco,Cro Cro,30.51096153259277,-9.68818187713623,Beach break,Right & left,Sand,Intermediate surfer
morocco,Dahomey,33.80760955810547,-7.18827724456787,Beach break,Right & left,Sand,Intermediate surfer
morocco,Desert Point,30.62269783020020,-9.81624126434326,Reef break,Right,Sand & Rock,Advanced surfer
morocco,Devil's Rock ,30.50400543212891,-9.68567085266113,Beach break,Right & left,Sand,Intermediate surfer
morocco,Draculas',30.62077713012695,-9.86091613769531,Point break,Right,Sand & Rock,Advanced surfer
morocco,Hash Point,30.54423904418945,-9.72560405731201,Point break,Right,Sand & Rock,Beginners
morocco,Imsouane,30.83798408508301,-9.82023239135742,Point break,Right,Sand,Beginners
morocco,Imsouane Surf,30.84181594848633,-9.81924533843994,Point break,Right & left,Sand & Rock,Intermediate surfer
morocco,Killer Point,30.55076789855957,-9.74010944366455,Point break,Right,Sand & Rock,Advanced surfer
morocco,Killers Beach,30.41196632385254,-9.60436820983887,Beach break,Right,Sand,Beginners
morocco,Oudaya,34.03358078002930,-6.83751964569092,Rivermouth,Right & left,Sand,Beginners
morocco,Panorama,30.54241561889648,-9.70854377746582,Point break,Right,Sand,Intermediate surfer
morocco,Safi,32.31034851074219,-9.26490783691406,Point break,Right,Rocky reef,Advanced surfer
morocco,Sidi kaouki,31.38539505004883,-9.83115386962891,Point break,Right & left,Sand & Rock,Intermediate surfer
morocco,Tamri ,30.71084785461426,-9.85860919952393,Reef break,Right & left,Sand,Advanced surfer
morocco,Unicorns',30.62321472167969,-9.86926364898682,Reef break,Right,Rocky reef,Advanced surfer
mozambique,Tofinho Point,-23.86499977111816,35.55250930786133,Reef break,Right,Rocky reef,Intermediate surfer
namibia,Skeleton Bay,-22.94448280334473,14.35981750488281,Point break,Left,Sand,Intermediate surfer
reunion,black and decker,-20.89987182617188,55.43701171875000,Reef break,Right & left,Boulders,Beginners
reunion,St Gilles Les Baines,-21.05374526977539,55.16784667968750,Reef break,Right,Sand,Beginners
reunion,The Cafrine,-21.17032623291016,55.25436401367188,Reef break,Right & left,Rocky reef,Intermediate surfer
reunion,Trois Bassins,-21.11316680908203,55.24234771728516,Reef break,Right & left,Coral reef,Intermediate surfer
senegal,NGor right,14.75405025482178,-17.51684188842773,Point break,Right,Rocky reef,Advanced surfer
senegal,Virage,14.76558685302734,-17.49435424804688,Beach break,Right & left,Sand & Rock,Beginners
senegal,Yoff Plage,14.76558685302734,-17.45967864990234,Beach break,Right & left,Sand,Intermediate surfer
south_africa,Big Bay,-33.79600143432617,18.45724487304688,Point break,Right & left,Sand,Advanced surfer
south_africa,Dungeons,-34.06048202514648,18.32631111145020,Reef break,Right,Rocky reef,Advanced surfer
